"Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"assertthat","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","0.2.1",NA,NA,"tools",NA,"testthat, covr",NA,"GPL-3",NA,NA,NA,NA,"no","4.3.0"
"backports","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.4.1",NA,"R (>= 3.0.0)",NA,NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.3.0"
"BAMMtools","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","2.1.11",NA,"ape, R (>= 2.10)","Rcpp (>= 0.11.0), gplots, methods",NA,"parallel",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.1"
"base","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","4.3.3","base",NA,NA,NA,"methods",NA,"Part of R 4.3.3",NA,NA,NA,NA,NA,"4.3.3"
"base64enc","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","0.1-3",NA,"R (>= 2.9.0)",NA,NA,NA,"png","GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.3.0"
"BayesFactor","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","0.9.12-4.7",NA,"R (>= 3.2.0), coda, Matrix (>= 1.1-1)","pbapply, mvtnorm, stringr, utils, graphics, MatrixModels, Rcpp
(>= 0.11.2), methods, hypergeo","Rcpp (>= 0.11.2), RcppEigen (>= 0.3.2.2.0)","doMC, foreach, testthat, knitr, markdown, rmarkdown, arm,
lme4, xtable, languageR",NA,"GPL-2",NA,NA,NA,NA,"yes","4.3.1"
"BB","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","2019.10-1",NA,"R (>= 2.6.1)","stats, quadprog",NA,"setRNG, survival, Hmisc, numDeriv",NA,"GPL-3",NA,NA,NA,NA,"no","4.3.0"
"BDgraph","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","2.72",NA,NA,"igraph, ggplot2, pROC",NA,"ssgraph, huge, tmvtnorm, skimr, knitr, rmarkdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.0"
"betapart","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.6",NA,NA,"ape, fastmatch, geometry, picante, rcdd, doSNOW, foreach,
snow, itertools, minpack.lm",NA,"vegan",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.3.0"
"betareg","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","3.1-4",NA,"R (>= 3.0.0)","graphics, grDevices, methods, stats, flexmix, Formula, lmtest,
modeltools, sandwich",NA,"car, lattice, partykit, strucchange",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"no","4.3.0"
"bezier","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.1.2",NA,NA,NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.3.0"
"BH","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.84.0-0",NA,NA,NA,NA,NA,NA,"BSL-1.0",NA,NA,NA,NA,"no","4.3.1"
"biclust","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","2.0.3.1",NA,"R (>= 2.10), MASS, grid, colorspace, lattice","methods, flexclust, additivityTests, tidyr, ggplot2",NA,"isa2",NA,"GPL-3",NA,NA,NA,NA,"yes","4.3.0"
"BIEN","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.2.6",NA,"R (>= 3.2.1), RPostgreSQL","DBI, ape, sf, fasterize, raster, terra, doParallel, parallel,
foreach",NA,"knitr, rmarkdown, testthat, maps",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.0"
"bigmemory","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","4.6.4",NA,"R (>= 3.2.0),","bigmemory.sri, methods, utils, Rcpp, uuid (>= 1.0-2)","BH, uuid (>= 1.0-2), Rcpp","testthat, remotes","biganalytics, bigtabulate","LGPL-3 | Apache License 2.0",NA,NA,NA,NA,"yes","4.3.1"
"bigmemory.sri","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","0.1.8",NA,NA,"methods",NA,NA,"bigmemory","LGPL-3 | Apache License 2.0",NA,NA,NA,NA,"no","4.3.1"
"bindr","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","0.1.1",NA,NA,NA,NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.0"
"bindrcpp","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","0.2.3",NA,NA,"bindr (>= 0.1.1), Rcpp (>= 0.12.16)","plogr, Rcpp","testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.1"
"BiocGenerics","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","0.48.1",NA,"R (>= 4.0.0), methods, utils, graphics, stats","methods, utils, graphics, stats",NA,"Biobase, S4Vectors, IRanges, GenomicRanges, DelayedArray,
Biostrings, Rsamtools, AnnotationDbi, affy, affyPLM, DESeq2,
flowClust, MSnbase, annotate, RUnit",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.3.1"
"BiocManager","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.30.22",NA,NA,"utils",NA,"BiocVersion, remotes, rmarkdown, testthat, withr, curl, knitr",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.3.0"
"BiocStyle","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","2.30.0",NA,NA,"bookdown, knitr (>= 1.30), rmarkdown (>= 1.2), stats, utils,
yaml, BiocManager",NA,"BiocGenerics, RUnit, htmltools",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.3.1"
"BiocVersion","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","3.18.1",NA,"R (>= 4.3.0)",NA,NA,NA,NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.3.2"
"biomod2","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","4.2-4",NA,"R (>= 4.1)","stats, utils, methods, terra (>= 1.6-33), sp, reshape,
reshape2, abind, foreach, ggplot2, nnet, gbm (>= 2.1.3),
xgboost, mda, randomForest, maxnet, rpart, MASS, pROC (>=
1.15.0), PresenceAbsence, earth, dplyr",NA,"Hmisc, gam, mgcv, car, caret, dismo, ENMeval, doParallel,
raster, ggpubr, testthat, knitr, markdown, tidyterra, ggtext",NA,"GPL-3",NA,NA,NA,NA,"no","4.3.0"
"bit","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","4.0.5",NA,"R (>= 2.9.2)",NA,NA,"testthat (>= 0.11.0), roxygen2, knitr, rmarkdown,
microbenchmark, bit64 (>= 4.0.0), ff (>= 4.0.0)",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.3.0"
"bit64","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","4.0.5",NA,"R (>= 3.0.1), bit (>= 4.0.0), utils, methods, stats",NA,NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.3.0"
"bitops","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.0-7",NA,NA,NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.0"
"blob","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.2.4",NA,NA,"methods, rlang, vctrs (>= 0.2.1)",NA,"covr, crayon, pillar (>= 1.2.1), testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.0"
"BMA","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","3.18.17",NA,"survival, leaps, robustbase, inline, rrcov","methods",NA,"MASS",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.0"
"bold","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.3.0",NA,"R (>= 2.10)","xml2, crul (>= 0.3.8), stringi, jsonlite, data.table, methods",NA,"sangerseqR, testthat, vcr (>= 0.5.4), tibble",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.0"
"bookdown","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","0.38",NA,"R (>= 3.5.0)","htmltools (>= 0.3.6), knitr (>= 1.38), rmarkdown (>= 2.14),
jquerylib, xfun (>= 0.39), tinytex (>= 0.12), yaml (>= 2.1.19)",NA,"bslib (>= 0.2.4), downlit (>= 0.4.0), htmlwidgets, jsonlite,
rstudioapi, miniUI, rsconnect (>= 0.4.3), servr (>= 0.13),
shiny, tibble, testit (>= 0.9), tufte, xml2, webshot, testthat
(>= 3.1.0), withr (>= 2.3.0)",NA,"GPL-3",NA,NA,NA,NA,"no","4.3.1"
"boot","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.3-30","recommended","R (>= 3.0.0), graphics, stats",NA,NA,"MASS, survival",NA,"Unlimited",NA,NA,NA,NA,"no","4.3.1"
"BoSSA","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","3.7",NA,"R (>= 3.3.0)","ape, RSQLite, jsonlite, phangorn, plotrix",NA,"prettydoc, knitr, rmarkdown, XML, rentrez, httr",NA,"GPL",NA,NA,NA,NA,"no","4.3.0"
"brew","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.0-10",NA,NA,NA,NA,"testthat (>= 3.0.0)",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.3.1"
"brio","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.1.4",NA,"R (>= 3.6)",NA,NA,"covr, testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.1"
"broom","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.0.5",NA,"R (>= 3.5)","backports, dplyr (>= 1.0.0), ellipsis, generics (>= 0.0.2),
glue, lifecycle, purrr, rlang, stringr, tibble (>= 3.0.0),
tidyr (>= 1.0.0)",NA,"AER, AUC, bbmle, betareg, biglm, binGroup, boot, btergm (>=
1.10.6), car, carData, caret, cluster, cmprsk, coda, covr, drc,
e1071, emmeans, epiR, ergm (>= 3.10.4), fixest (>= 0.9.0), gam
(>= 1.15), gee, geepack, ggplot2, glmnet, glmnetUtils, gmm,
Hmisc, irlba, interp, joineRML, Kendall, knitr, ks, Lahman,
lavaan, leaps, lfe, lm.beta, lme4, lmodel2, lmtest (>= 0.9.38),
lsmeans, maps, margins, MASS, mclust, mediation, metafor, mfx,
mgcv, mlogit, modeldata, modeltests, muhaz, multcomp, network,
nnet, orcutt (>= 2.2), ordinal, plm, poLCA, psych, quantreg,
rmarkdown, robust, robustbase, rsample, sandwich, sp, spdep (>=
1.1), spatialreg, speedglm, spelling, survey, survival,
systemfit, testthat (>= 2.1.0), tseries, vars, zoo",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.0"
"broom.helpers","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.14.0",NA,"R (>= 3.4)","broom (>= 0.8), cli, dplyr, labelled, lifecycle, purrr, rlang
(>= 1.0.1), stats, stringr, tibble, tidyr",NA,"betareg, biglm, biglmm, brms (>= 2.13.0), broom.mixed,
cmprsk, covr, datasets, effects, emmeans, fixest (>= 0.10.0),
forcats, gam, gee, geepack, ggplot2, ggeffects, ggstats (>=
0.2.1), glmmTMB, glue, gt, gtsummary (>= 1.6.3), knitr, lavaan,
lfe, lme4 (>= 1.1.28), logitr (>= 0.8.0), marginaleffects (>=
0.10.0), margins, MASS, mgcv, mice, multgee, nnet, ordinal,
parameters, parsnip, patchwork, plm, pscl, rmarkdown, rstanarm,
scales, spelling, survey, survival, testthat, tidycmprsk, VGAM",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.3.0"
"BSDA","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.2.2",NA,"lattice, R (>= 2.10)","e1071",NA,"ggplot2 (>= 2.1.0), dplyr, tidyr",NA,"GPL-3",NA,NA,NA,NA,"no","4.3.1"
"bslib","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","0.6.2",NA,"R (>= 2.10)","base64enc, cachem, grDevices, htmltools (>= 0.5.7), jquerylib
(>= 0.1.3), jsonlite, lifecycle, memoise (>= 2.0.1), mime,
rlang, sass (>= 0.4.9)",NA,"bsicons, curl, fontawesome, ggplot2, knitr, magrittr,
rappdirs, rmarkdown (>= 2.7), shiny (>= 1.8.0), testthat,
thematic, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.1"
"C50","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","0.1.8",NA,"R (>= 2.10.0)","Cubist (>= 0.3.0), partykit",NA,"covr, knitr, modeldata, rmarkdown, testthat (>= 3.0.0)",NA,"GPL-3",NA,NA,NA,NA,"yes","4.3.0"
"ca","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","0.71.1",NA,"R (>= 3.0.0)",NA,NA,"rgl (>= 0.64-10), vcd",NA,"GPL",NA,NA,NA,NA,"no","4.3.0"
"cachem","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.0.8",NA,NA,"rlang, fastmap (>= 1.1.1)",NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.0"
"Cairo","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.6-2",NA,"R (>= 2.4.0)","grDevices, graphics",NA,"png","FastRWeb","GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.3.1"
"callr","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","3.7.6",NA,"R (>= 3.4)","processx (>= 3.6.1), R6, utils",NA,"asciicast (>= 2.3.1), cli (>= 1.1.0), mockery, ps, rprojroot,
spelling, testthat (>= 3.2.0), withr (>= 2.3.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.1"
"caper","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.0.3",NA,"R (>= 2.10), ape (>= 3.0-6) , MASS, mvtnorm","stats, graphics, utils, methods",NA,"xtable, rmarkdown, knitr",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.3.1"
"car","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","3.1-2",NA,"R (>= 3.5.0), carData (>= 3.0-0)","abind, MASS, mgcv, nnet, pbkrtest (>= 0.4-4), quantreg,
grDevices, utils, stats, graphics, lme4 (>= 1.1-27.1), nlme,
scales",NA,"alr4, boot, coxme, effects, knitr, leaps, lmtest, Matrix,
MatrixModels, mvtnorm, rgl (>= 0.111.3), rio, sandwich,
SparseM, survival, survey",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.3.0"
"carData","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","3.0-5",NA,"R (>= 3.5.0)",NA,NA,"car (>= 3.0-0)",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.3.0"
"caret","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","6.0-94",NA,"ggplot2, lattice (>= 0.20), R (>= 3.2.0)","e1071, foreach, grDevices, methods, ModelMetrics (>= 1.2.2.2),
nlme, plyr, pROC, recipes (>= 0.1.10), reshape2, stats, stats4,
utils, withr (>= 2.0.0)",NA,"BradleyTerry2, covr, Cubist, dplyr, earth (>= 2.2-3),
ellipse, fastICA, gam (>= 1.15), ipred, kernlab, klaR, knitr,
MASS, Matrix, mda, mgcv, mlbench, MLmetrics, nnet, pamr, party
(>= 0.9-99992), pls, proxy, randomForest, RANN, rmarkdown,
rpart, spls, subselect, superpc, testthat (>= 0.9.1), themis
(>= 0.1.3)",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.0"
"castor","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.8.0",NA,"Rcpp (>= 0.12.10)","parallel, naturalsort, stats, Matrix, RSpectra, jsonlite,
methods","Rcpp","nloptr, ape",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.1"
"cati","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","0.99.4",NA,"R (>= 3.5.0), nlme, ade4, ape,","e1071, rasterVis, hypervolume, FD, geometry, vegan",NA,"lattice, entropart, fBasics, picante, mice, knitr",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.3.0"
"caTools","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.18.2",NA,"R (>= 3.6.0)","bitops",NA,"MASS, rpart",NA,"GPL-3",NA,NA,NA,NA,"yes","4.3.0"
"cellranger","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.1.0",NA,"R (>= 3.0.0)","rematch, tibble",NA,"covr, testthat (>= 1.0.0), knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.0"
"checkmate","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","2.3.1",NA,"R (>= 3.0.0)","backports (>= 1.1.0), utils",NA,"R6, fastmatch, data.table (>= 1.9.8), devtools, ggplot2,
knitr, magrittr, microbenchmark, rmarkdown, testthat (>=
3.0.4), tinytest (>= 1.1.0), tibble",NA,"BSD_3_clause + file LICENSE",NA,NA,NA,NA,"yes","4.3.1"
"chron","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","2.3-61",NA,"R (>= 2.12.0)","graphics, stats",NA,"scales, ggplot2","zoo","GPL-2",NA,NA,NA,NA,"yes","4.3.0"
"cladoRcpp","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","0.15.1",NA,"","Rcpp","Rcpp, RcppArmadillo",NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.0"
"class","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","7.3-22","recommended","R (>= 3.0.0), stats, utils","MASS",NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.3.0"
"classInt","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","0.4-10",NA,"R (>= 2.2)","grDevices, stats, graphics, e1071, class, KernSmooth",NA,"spData (>= 0.2.6.2), units, knitr, rmarkdown, tinytest",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.0"
"cli","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","3.6.2",NA,"R (>= 3.4)","utils",NA,"callr, covr, crayon, digest, glue (>= 1.6.0), grDevices,
htmltools, htmlwidgets, knitr, methods, mockery, processx, ps
(>= 1.3.4.9000), rlang (>= 1.0.2.9003), rmarkdown, rprojroot,
rstudioapi, testthat, tibble, whoami, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.1"
"clipr","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","0.8.0",NA,NA,"utils",NA,"covr, knitr, rmarkdown, rstudioapi (>= 0.5), testthat (>=
2.0.0)",NA,"GPL-3",NA,NA,NA,NA,"no","4.3.0"
"clock","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","0.7.0",NA,"R (>= 3.5.0)","cli (>= 3.6.1), lifecycle (>= 1.0.3), rlang (>= 1.1.0), tzdb
(>= 0.4.0), vctrs (>= 0.6.1)","cpp11 (>= 0.4.3), tzdb (>= 0.4.0)","covr, knitr, magrittr, pillar, rmarkdown, slider (>= 0.3.0),
testthat (>= 3.0.0), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.0"
"clue","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","0.3-65",NA,"R (>= 3.2.0)","stats, cluster, graphics, methods",NA,"e1071, lpSolve (>= 5.5.7), quadprog (>= 1.4-8), relations","RWeka, ape, cba, cclust, flexclust, flexmix, kernlab, mclust,
movMF, modeltools","GPL-2",NA,NA,NA,NA,"yes","4.3.1"
"cluster","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","2.1.6","recommended","R (>= 3.5.0)","graphics, grDevices, stats, utils",NA,"MASS, Matrix","mvoutlier, fpc, ellipse, sfsmisc","GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.1"
"clusterGeneration","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.3.8",NA,"R (>= 3.5.0), MASS",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.3.0"
"coda","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","0.19-4.1",NA,"R (>= 2.14.0)","lattice",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.3.1"
"codetools","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","0.2-19","recommended","R (>= 2.1)",NA,NA,NA,NA,"GPL",NA,NA,NA,NA,"no","4.3.0"
"coin","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.4-3",NA,"R (>= 3.6.0), survival","methods, parallel, stats, stats4, utils, libcoin (>= 1.0-9),
matrixStats (>= 0.54.0), modeltools (>= 0.2-9), mvtnorm (>=
1.0-5), multcomp","libcoin (>= 1.0-9)","xtable, e1071, vcd, TH.data (>= 1.0-7)",NA,"GPL-2",NA,NA,NA,NA,"yes","4.3.1"
"colorRamps","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","2.3.4",NA,NA,NA,NA,NA,NA,"GPL",NA,NA,NA,NA,"no","4.3.1"
"colorspace","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","2.1-0",NA,"R (>= 3.0.0), methods","graphics, grDevices, stats",NA,"datasets, utils, KernSmooth, MASS, kernlab, mvtnorm, vcd,
tcltk, shiny, shinyjs, ggplot2, dplyr, scales, grid, png, jpeg,
knitr, rmarkdown, RColorBrewer, rcartocolor, scico, viridis,
wesanderson",NA,"BSD_3_clause + file LICENSE",NA,NA,NA,NA,"yes","4.3.0"
